File Path,Container,Video Codec,Resolution,File Size (MB),Audio Codec,Audio Channels
"/pool/Movies/Spy Game (2001)/Spy Game (2001) Bluray-1080p 1535.mkv",mkv,hevc,1920x816,4710,aac,6
"/pool/Movies/E.T. the Extra-Terrestrial (1982)/E.T. the Extra-Terrestrial (1982) Bluray-1080p 601.mkv",mkv,hevc,1920x1040,5292,eac3,8
"/pool/Movies/The Wind Rises (2013)/The Wind Rises (2013) Bluray-1080p 149870.mkv",mkv,hevc,1920x1040,4726,eac3,2
"/pool/Movies/Memories (1995)/Memories (1995) Bluray-1080p 42994.mkv",mkv,hevc,1800x976,806,aac,6
"/pool/Movies/Star Trek V The Final Frontier (1989)/Star Trek V - The Final Frontier (1989) RM (1080p BluRay x265 HEVC 10bit AAC 7.1 Tigole).mkv",mkv,hevc,1920x800,5236,aac,8
"/pool/Movies/Under the Skin (2014)/Under the Skin (2014) Bluray-1080p 97370.mkv",mkv,hevc,1920x1036,4752,aac,6
"/pool/Movies/Renfield (2023)/Renfield (2023) WEBRip-1080p 649609.mkv",mkv,hevc,1920x804,1990,eac3,6
"/pool/Movies/Flora and Son (2023)/Flora and Son (2023) WEBRip-1080p 1059811.mp4",mp4,hevc,1920x800,1655,aac,6
"/pool/Movies/Blade Runner (1982)/Blade Runner (1982) Bluray-1080p 78.mp4",mp4,hevc,1920x800,1877,aac,6
"/pool/Movies/Pom Poko (1994)/Pom Poko (1994) [1080p x265 HEVC 10bit BluRay AAC] [Prof].mkv",mkv,hevc,1920x1080,3910,aac,2
"/pool/Movies/Fast & Furious (2009)/Fast & Furious (2009) Bluray-1080p Proper 13804.mp4",mp4,hevc,1920x800,1703,aac,6
"/pool/Movies/Bubble (2022)/Bubble (2022) WEBDL-1080p 912598.mkv",mkv,hevc,1920x1080,3302,opus,2
"/pool/Movies/A Clockwork Orange (1971)/A Clockwork Orange (1971)  [1080p x265 q18 FS100 Joy].mkv",mkv,hevc,1920x1152,5096,dts,6
"/pool/Movies/Gummo (1997)/Gummo (1997) Bluray-1080p 18415.mkv",mkv,hevc,1920x1040,7400,flac,2
"/pool/Movies/Fast Five (2011)/Fast Five (2011) Bluray-1080p Proper 51497.mp4",mp4,hevc,1920x816,2099,aac,6
"/pool/Movies/Spider-Man Into the Spider-Verse (2018)/Spider-Man Into the Spider-Verse (2018) Bluray-1080p Proper 324857.mkv",mkv,hevc,1920x1080,3096,aac,6
"/pool/Movies/Talladega Nights The Ballad of Ricky Bobby (2006)/Talladega.Nights.The.Ballad.Of.Ricky.Bobby.2006.UNRATED.1080p.BluRay.x265-RARBG.mp4",mp4,hevc,1920x800,1938,aac,6
"/pool/Movies/65 (2023)/65 (2023) WEBRip-1080p 700391.mkv",mkv,hevc,2560x1066,5304,eac3,6
"/pool/Movies/Barely Lethal (2015)/Barely Lethal (2015) Bluray-1080p 248574.mp4",mp4,hevc,1920x1036,1568,aac,6
"/pool/Movies/Predator (1987)/Predator 1987  (1080p x265 10bit FS74 Joy).mkv",mkv,hevc,1920x1024,1756,aac,6
"/pool/Movies/Lincoln (2012)/Lincoln (2012) Bluray-1080p 72976.mkv",mkv,hevc,1920x800,8528,dts,8
"/pool/Movies/Lonely Castle in the Mirror (2022)/Lonely Castle in the Mirror (2022) Bluray-1080p 942881.mkv",mkv,hevc,1920x1080,1663,aac,6
"/pool/Movies/Decision to Leave (2022)/Decision To Leave 2022 1080p Korean WEB-DL HEVC x265 5.1 BONE.mkv",mkv,hevc,1920x804,1562,aac,6
"/pool/Movies/The Monster (2016)/The.Monster.2016.HDRip.XviD.AC3-EVO.avi",avi,mpeg4,720x304,1247,ac3,6
"/pool/Movies/Lord of War (2005)/Featurettes/Deleted Scenes.mkv",mkv,hevc,1920x800,61,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/Interview - Andrew Niccol.mkv",mkv,hevc,720x360,38,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/Making a Killing - Inside the International Arms Trade.mkv",mkv,hevc,1468x1080,170,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/Interviews - Jean-Vincent Puzos & Philippe Rousselet [fr].mkv",mkv,hevc,720x360,50,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/Amnesty International Spot with Nicholas Cage.mkv",mkv,hevc,700x388,0,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/The Making of Lord of War.mkv",mkv,hevc,1456x1080,229,aac,2
"/pool/Movies/Lord of War (2005)/Featurettes/Visual Effects [fr].mkv",mkv,hevc,720x480,53,aac,2
"/pool/Movies/A Matter of Life and Death (1946)/A.Matter.of.Life.and.Death.1946.REMASTERED.1080p.BluRay.x265-RARBG.mp4",mp4,hevc,1480x1080,1666,aac,1
"/pool/Movies/Equals (2015)/Equals (2015) Bluray-1080p 301875.mkv",mkv,hevc,1920x1040,1656,ac3,6
"/pool/Movies/Tusk (2014)/Tusk (2014) Bluray-1080p 246403.mkv",mkv,hevc,1920x800,2012,aac,6
"/pool/Movies/Watchmen Chapter II (2024)/Watchmen Chapter II (2024) Bluray-1080p 1299652.mkv",mkv,av1,1920x804,1578,aac,6
"/pool/Movies/La Femme Nikita (1990)/La Femme Nikita (1990) Bluray-1080p Proper 9322.mkv",mkv,hevc,1920x816,2312,aac,6
"/pool/Movies/Oxygen (2021)/Oxygen (2021) (1080p NF WEBRip x265 French + English Bandi).mkv",mkv,hevc,1920x804,3947,eac3,6
"/pool/Movies/Hot Summer Nights (2018)/Hot.Summer.Nights.(2018).1080p.AMZN.WEB-DL.10-bit.x265.EAC3.6.0 Qman[UTR].mkv",mkv,hevc,1920x816,2086,eac3,6
"/pool/Movies/Grindhouse (2007)/Grindhouse (2007) Bluray-1080p Proper 285923.mkv",mkv,hevc,1920x824,12799,ac3,6
"/pool/Movies/Coherence (2013)/Coherence (2013) Bluray-1080p 220289.mkv",mkv,hevc,1920x816,3904,aac,6
"/pool/Movies/Sleep (2023)/Sleep (2023) Bluray-1080p 964592.mkv",mkv,hevc,1920x1040,4674,eac3,6
"/pool/Movies/Whip It (2009)/Whip It (2009) Bluray-1080p 22798.mp4",mp4,hevc,1920x800,1766,aac,6
"/pool/Movies/Oldboy (2003)/Oldboy (2003) Bluray-1080p 670.mkv",mkv,hevc,1920x816,7948,eac3,8
"/pool/Movies/Looper (2012)/Looper (2012) Bluray-1080p 59967.mkv",mkv,hevc,1920x816,4751,aac,6
